5,42454,M,09h32,2023/06/01,10h00
2,14213,M,12h30,2023/06/12,14h20
10,12093,M,06h30,2023/06/17,12h20
1,24241,B,11h30,2023/06/24,15h00
8,92022,M,12h00,2023/06/25,02h00
3,12432,B,10h00,2023/11/13,11h15
4,95829,M,00h00,2023/11/14,02h00
6,21784,B,01h00,2023/11/18,03h00
7,95422,B,00h20,2023/11/24,07h00
9,34532,B,15h25,2023/11/30,18h00
11,12345,B,00h36,2023/12/06,00h37
12,11111,M,21h35,2023/12/06,21h36
13,21411,M,17h43,2023/12/27,17h44
14,25136,B,18h21,2023/12/27,18h22
15,45262,M,17h56,2023/12/28,17h57
